red;green;blue
0,419607843;0,345098039;0,360784314
0,352941176;0,254901961;0,239215686
0,250980392;0,192156863;0,211764706
0,349019608;0,270588235;0,266666667
0,505882353;0,415686275;0,392156863
0,941176471;0,901960784;0,862745098
0,91372549;0,858823529;0,823529412
0,419607843;0,333333333;0,290196078
0,447058824;0,392156863;0,392156863
0,309803922;0,243137255;0,282352941
0,219607843;0,160784314;0,188235294
0,196078431;0,133333333;0,17254902
0,352941176;0,278431373;0,294117647
0,576470588;0,494117647;0,474509804
0,760784314;0,701960784;0,674509804
0,48627451;0,37254902;0,317647059
0,647058824;0,57254902;0,545098039
0,337254902;0,239215686;0,219607843
0,250980392;0,184313725;0,207843137
0,694117647;0,592156863;0,525490196
0,635294118;0,474509804;0,349019608
0,584313725;0,458823529;0,360784314
0,678431373;0,541176471;0,415686275
0,71372549;0,552941176;0,42745098
0,552941176;0,423529412;0,356862745
0,956862745;0,878431373;0,780392157
1;0,960784314;0,850980392
1;0,956862745;0,847058824
0,996078431;1;0,97254902
0,992156863;1;0,976470588
1;0,996078431;0,88627451
0,980392157;0,874509804;0,760784314
0,823529412;0,709803922;0,584313725
0,37254902;0,294117647;0,298039216
0,403921569;0,337254902;0,368627451
0,447058824;0,341176471;0,31372549
0,521568627;0,458823529;0,458823529
0,498039216;0,42745098;0,411764706
0,670588235;0,615686275;0,615686275
0,607843137;0,541176471;0,51372549
0,956862745;0,670588235;0,541176471
0,933333333;0,607843137;0,490196078
0,643137255;0,321568627;0,274509804
0,784313725;0,533333333;0,360784314
0,454901961;0,184313725;0,164705882
0,341176471;0,145098039;0,141176471
0,364705882;0,152941176;0,152941176
0,631372549;0,317647059;0,274509804
0,737254902;0,368627451;0,258823529
0,835294118;0,482352941;0,376470588
0,6;0,31372549;0,278431373
1;0,780392157;0,603921569
0,976470588;0,925490196;0,749019608
0,97254902;0,760784314;0,62745098
0,905882353;0,615686275;0,509803922
1;0,658823529;0,584313725
0,803921569;0,466666667;0,407843137
0,890196078;0,584313725;0,443137255
0,878431373;0,580392157;0,439215686
1;0,68627451;0,51372549
